answer_key_id,true_mistakes,prompt_type,ai_estimated_mistakes
errors_00_key_01,0,prompt_1_very_pessimistic,1
errors_00_key_01,0,prompt_2_pessimistic,0
errors_00_key_01,0,prompt_3_neutral,0
errors_00_key_01,0,prompt_4_confident,0
errors_00_key_01,0,prompt_5_very_confident,0
errors_00_key_02,0,prompt_1_very_pessimistic,1
errors_00_key_02,0,prompt_2_pessimistic,0
errors_00_key_02,0,prompt_3_neutral,0
errors_00_key_02,0,prompt_4_confident,0
errors_00_key_02,0,prompt_5_very_confident,0
errors_00_key_03,0,prompt_1_very_pessimistic,1
errors_00_key_03,0,prompt_2_pessimistic,0
errors_00_key_03,0,prompt_3_neutral,0
errors_00_key_03,0,prompt_4_confident,0
errors_00_key_03,0,prompt_5_very_confident,0
errors_00_key_04,0,prompt_1_very_pessimistic,1
errors_00_key_04,0,prompt_2_pessimistic,1
errors_00_key_04,0,prompt_3_neutral,0
errors_00_key_04,0,prompt_4_confident,0
errors_00_key_04,0,prompt_5_very_confident,0
errors_00_key_05,0,prompt_1_very_pessimistic,1
errors_00_key_05,0,prompt_2_pessimistic,1
errors_00_key_05,0,prompt_3_neutral,0
errors_00_key_05,0,prompt_4_confident,0
errors_00_key_05,0,prompt_5_very_confident,0
errors_00_key_06,0,prompt_1_very_pessimistic,0
errors_00_key_06,0,prompt_2_pessimistic,0
errors_00_key_06,0,prompt_3_neutral,0
errors_00_key_06,0,prompt_4_confident,0
errors_00_key_06,0,prompt_5_very_confident,0
errors_00_key_07,0,prompt_1_very_pessimistic,0
errors_00_key_07,0,prompt_2_pessimistic,1
errors_00_key_07,0,prompt_3_neutral,0
errors_00_key_07,0,prompt_4_confident,0
errors_00_key_07,0,prompt_5_very_confident,0
errors_00_key_08,0,prompt_1_very_pessimistic,1
errors_00_key_08,0,prompt_2_pessimistic,1
errors_00_key_08,0,prompt_3_neutral,0
errors_00_key_08,0,prompt_4_confident,0
errors_00_key_08,0,prompt_5_very_confident,0
errors_00_key_09,0,prompt_1_very_pessimistic,0
errors_00_key_09,0,prompt_2_pessimistic,0
errors_00_key_09,0,prompt_3_neutral,0
errors_00_key_09,0,prompt_4_confident,0
errors_00_key_09,0,prompt_5_very_confident,1
errors_00_key_10,0,prompt_1_very_pessimistic,0
errors_00_key_10,0,prompt_2_pessimistic,1
errors_00_key_10,0,prompt_3_neutral,1
errors_00_key_10,0,prompt_4_confident,0
errors_00_key_10,0,prompt_5_very_confident,0
errors_00_key_11,0,prompt_1_very_pessimistic,1
errors_00_key_11,0,prompt_2_pessimistic,0
errors_00_key_11,0,prompt_3_neutral,0
errors_00_key_11,0,prompt_4_confident,1
errors_00_key_11,0,prompt_5_very_confident,0
errors_00_key_12,0,prompt_1_very_pessimistic,1
errors_00_key_12,0,prompt_2_pessimistic,0
errors_00_key_12,0,prompt_3_neutral,1
errors_00_key_12,0,prompt_4_confident,0
errors_00_key_12,0,prompt_5_very_confident,1
errors_00_key_13,0,prompt_1_very_pessimistic,0
