answer_key_id,true_mistakes,prompt_type,ai_estimated_mistakes
111010010110101 ,14,very_pessimistic,not found
111010010110101 ,14,pessimistic,not found
111010010110101 ,14,neutral,not found
111010010110101 ,14,confident,not found
111010010110101 ,14,very_confident,not found
111010110110111 ,14,very_pessimistic,not found
111010110110111 ,14,pessimistic,not found
111010110110111 ,14,neutral,not found
111010110110111 ,14,confident,not found
111010110110111 ,14,very_confident,not found
111000010110111 ,14,very_pessimistic,not found
111000010110111 ,14,pessimistic,not found
111000010110111 ,14,neutral,not found
111000010110111 ,14,confident,not found
111000010110111 ,14,very_confident,not found
111010011110111 ,14,very_pessimistic,not found
111010011110111 ,14,pessimistic,not found
111010011110111 ,14,neutral,not found
111010011110111 ,14,confident,not found
111010011110111 ,14,very_confident,not found
111010010110110 ,14,very_pessimistic,not found
111010010110110 ,14,pessimistic,not found
111010010110110 ,14,neutral,not found
111010010110110 ,14,confident,not found
111010010110110 ,14,very_confident,not found
111010010110011 ,14,very_pessimistic,not found
111010010110011 ,14,pessimistic,not found
111010010110011 ,14,neutral,not found
111010010110011 ,14,confident,not found
111010010110011 ,14,very_confident,not found
110010010110111 ,14,very_pessimistic,not found
110010010110111 ,14,pessimistic,not found
110010010110111 ,14,neutral,not found
110010010110111 ,14,confident,not found
110010010110111 ,14,very_confident,not found
111010010110110 ,14,very_pessimistic,not found
111010010110110 ,14,pessimistic,not found
111010010110110 ,14,neutral,not found
111010010110110 ,14,confident,not found
111010010110110 ,14,very_confident,not found
111011010110111 ,14,very_pessimistic,not found
111011010110111 ,14,pessimistic,not found
111011010110111 ,14,neutral,not found
111011010110111 ,14,confident,not found
111011010110111 ,14,very_confident,not found
111000010110111 ,14,very_pessimistic,not found
111000010110111 ,14,pessimistic,not found
111000010110111 ,14,neutral,not found
111000010110111 ,14,confident,not found
111000010110111 ,14,very_confident,not found
111010010100111 ,14,very_pessimistic,not found
111010010100111 ,14,pessimistic,not found
111010010100111 ,14,neutral,not found
111010010100111 ,14,confident,not found
111010010100111 ,14,very_confident,not found
101010010110111 ,14,very_pessimistic,not found
101010010110111 ,14,pessimistic,not found
101010010110111 ,14,neutral,not found
101010010110111 ,14,confident,not found
101010010110111 ,14,very_confident,not found
101010010110111 ,14,very_pessimistic,not found
101010010110111 ,14,pessimistic,not found
101010010110111 ,14,neutral,not found
101010010110111 ,14,confident,not found
101010010110111 ,14,very_confident,not found
111010010111111 ,14,very_pessimistic,not found
