answer_key_id,true_mistakes,prompt_type,ai_estimated_mistakes
111010010110101 ,14,very_pessimistic,14
111010010110101 ,14,pessimistic,14
111010010110101 ,14,neutral,14
111010010110101 ,14,confident,10
111010010110101 ,14,very_confident,14
111010110110111 ,14,pessimistic,14
111010110110111 ,14,neutral,14
111010110110111 ,14,confident,14
111010110110111 ,14,very_confident,14
111000010110111 ,14,very_pessimistic,14
111000010110111 ,14,pessimistic,14
111000010110111 ,14,neutral,14
111000010110111 ,14,confident,10
111000010110111 ,14,very_confident,14
111010011110111 ,14,very_pessimistic,12
111010011110111 ,14,pessimistic,14
111010011110111 ,14,neutral,14
111010011110111 ,14,confident,14
111010011110111 ,14,very_confident,14
111010010110110 ,14,very_pessimistic,14
111010010110110 ,14,pessimistic,14
111010010110110 ,14,neutral,14
111010010110110 ,14,confident,14
111010010110110 ,14,very_confident,10
111010010110011 ,14,very_pessimistic,14
111010010110011 ,14,pessimistic,14
111010010110011 ,14,neutral,14
111010010110011 ,14,confident,12
111010010110011 ,14,very_confident,14
110010010110111 ,14,very_pessimistic,14
110010010110111 ,14,pessimistic,11
110010010110111 ,14,neutral,14
110010010110111 ,14,confident,14
110010010110111 ,14,very_confident,14
111010010110110 ,14,very_pessimistic,14
111010010110110 ,14,pessimistic,14
111010010110110 ,14,neutral,11
111010010110110 ,14,confident,14
111010010110110 ,14,very_confident,13
111011010110111 ,14,very_pessimistic,14
111011010110111 ,14,pessimistic,14
111011010110111 ,14,neutral,14
111011010110111 ,14,confident,11
111011010110111 ,14,very_confident,14
111000010110111 ,14,very_pessimistic,13
111000010110111 ,14,pessimistic,14
111000010110111 ,14,neutral,9
111000010110111 ,14,confident,14
111000010110111 ,14,very_confident,14
111010010100111 ,14,very_pessimistic,14
111010010100111 ,14,pessimistic,14
111010010100111 ,14,neutral,14
111010010100111 ,14,confident,14
111010010100111 ,14,very_confident,14
101010010110111 ,14,very_pessimistic,13
101010010110111 ,14,pessimistic,14
101010010110111 ,14,neutral,14
101010010110111 ,14,confident,11
101010010110111 ,14,very_confident,14
101010010110111 ,14,very_pessimistic,14
101010010110111 ,14,pessimistic,14
101010010110111 ,14,neutral,14
101010010110111 ,14,confident,14
101010010110111 ,14,very_confident,14
111010010111111 ,14,very_pessimistic,14
111010010111111 ,14,pessimistic,14
111010010111111 ,14,neutral,14
111010010111111 ,14,confident,14
111010010111111 ,14,very_confident,14
111110010110111 ,14,very_pessimistic,14
111110010110111 ,14,pessimistic,13
111110010110111 ,14,neutral,14
111110010110111 ,14,confident,14
111110010110111 ,14,very_confident,14
111010010110110 ,14,very_pessimistic,15
111010010110110 ,14,pessimistic,14
111010010110110 ,14,neutral,14
111010010110110 ,14,confident,9
111010010110110 ,14,very_confident,14
111010010100111 ,14,very_pessimistic,14
111010010100111 ,14,pessimistic,14
111010010100111 ,14,neutral,14
111010010100111 ,14,confident,12
111010010100111 ,14,very_confident,14
111010010110011 ,14,very_pessimistic,13
111010010110011 ,14,pessimistic,14
111010010110011 ,14,neutral,14
111010010110011 ,14,confident,14
111010010110011 ,14,very_confident,14
111010011110111 ,14,very_pessimistic,14
111010011110111 ,14,pessimistic,14
111010011110111 ,14,neutral,14
111010011110111 ,14,confident,14
111010011110111 ,14,very_confident,12
111010011110111 ,14,very_pessimistic,14
111010011110111 ,14,pessimistic,14
111010011110111 ,14,neutral,14
111010011110111 ,14,confident,14
111010011110111 ,14,very_confident,11
111010010110101 ,14,very_pessimistic,14
111010010110101 ,14,pessimistic,14
111010010110101 ,14,neutral,14
111010010110101 ,14,confident,12
111010010110101 ,14,very_confident,14
111010010110011 ,14,very_pessimistic,15
111010010110011 ,14,pessimistic,14
111010010110011 ,14,neutral,14
111010010110011 ,14,confident,14
111010010110011 ,14,very_confident,14
101010010110111 ,14,very_pessimistic,14
101010010110111 ,14,pessimistic,14
101010010110111 ,14,neutral,14
101010010110111 ,14,confident,14
101010010110111 ,14,very_confident,13
101010010110111 ,14,very_pessimistic,14
101010010110111 ,14,pessimistic,14
101010010110111 ,14,neutral,14
101010010110111 ,14,confident,14
101010010110111 ,14,very_confident,14
111010010100111 ,14,very_pessimistic,15
111010010100111 ,14,pessimistic,14
111010010100111 ,14,neutral,14
111010010100111 ,14,confident,14
111010010100111 ,14,very_confident,14
111010000110111 ,14,very_pessimistic,11
111010000110111 ,14,pessimistic,14
111010000110111 ,14,neutral,13
111010000110111 ,14,confident,14
111010000110111 ,14,very_confident,13
111010110110111 ,14,very_pessimistic,13
111010110110111 ,14,pessimistic,14
111010110110111 ,14,neutral,14
111010110110111 ,14,confident,14
111010110110111 ,14,very_confident,14
111010011110111 ,14,very_pessimistic,12
111010011110111 ,14,pessimistic,14
111010011110111 ,14,neutral,14
111010011110111 ,14,confident,14
111010011110111 ,14,very_confident,14
101010010110111 ,14,very_pessimistic,14
101010010110111 ,14,pessimistic,14
101010010110111 ,14,neutral,14
101010010110111 ,14,confident,14
101010010110111 ,14,very_confident,13
111010010010111 ,14,very_pessimistic,14
111010010010111 ,14,pessimistic,12
111010010010111 ,14,neutral,14
111010010010111 ,14,confident,14
111010010010111 ,14,very_confident,14
111110010110111 ,14,very_pessimistic,13
111110010110111 ,14,pessimistic,14
111110010110111 ,14,neutral,14
111110010110111 ,14,confident,14
111110010110111 ,14,very_confident,14
111010011110111 ,14,very_pessimistic,14
111010011110111 ,14,pessimistic,14
111010011110111 ,14,neutral,14
111010011110111 ,14,confident,14
111010011110111 ,14,very_confident,14
111010010110011 ,14,very_pessimistic,14
111010010110011 ,14,pessimistic,14
111010010110011 ,14,neutral,14
111010010110011 ,14,confident,14
111010010110011 ,14,very_confident,14
111011010110111 ,14,very_pessimistic,14
111011010110111 ,14,pessimistic,14
111011010110111 ,14,neutral,12
111011010110111 ,14,confident,14
111011010110111 ,14,very_confident,13
011010010110111 ,14,very_pessimistic,14
011010010110111 ,14,pessimistic,14
011010010110111 ,14,neutral,14
011010010110111 ,14,confident,13
011010010110111 ,14,very_confident,14
011010010110111 ,14,very_pessimistic,14
011010010110111 ,14,pessimistic,15
011010010110111 ,14,neutral,14
011010010110111 ,14,confident,14
011010010110111 ,14,very_confident,14
111010010010111 ,14,very_pessimistic,14
111010010010111 ,14,pessimistic,13
111010010010111 ,14,neutral,14
111010010010111 ,14,confident,14
111010010010111 ,14,very_confident,12
111010110110111 ,14,very_pessimistic,13
111010110110111 ,14,pessimistic,13
111010110110111 ,14,neutral,11
111010110110111 ,14,confident,14
111010110110111 ,14,very_confident,14
